id,name,city_zone,type,opened,daily_passengers,latitude,longitude,accessible,connected_to,edge_weight,edge_type
stn_001,North Station,zone_1,metro,1973-03-28,38910,44.80343,20.45342,0,stn_002;stn_011;stn_020,5,direct
stn_002,South Terminal,zone_2,tram,2008-06-30,31019,44.81333,20.45435,0,stn_003;stn_012;stn_098,19,direct
stn_003,East Stop,zone_3,bus_terminal,1961-09-06,10083,44.82266,20.45107,1,stn_004;stn_013;stn_046,12,transfer
stn_004,West Hub,zone_4,rail,1952-09-09,57368,44.83063,20.45342,0,stn_005;stn_011;stn_014,22,direct
stn_005,Central Junction,zone_1,light_rail,1974-09-30,20029,44.84042,20.45397,1,stn_006;stn_015;stn_034,19,transfer
stn_006,Old Depot,zone_2,metro,1990-06-20,58047,44.85475,20.45397,1,stn_007;stn_016;stn_137,24,transfer
stn_007,New Square,zone_3,tram,1981-11-30,31474,44.86243,20.45378,1,stn_008;stn_017;stn_052,5,express
stn_008,Upper Cross,zone_4,bus_terminal,2010-03-05,48536,44.87444,20.45319,0,stn_009;stn_018;stn_172,10,direct
stn_009,Lower End,zone_1,rail,1981-01-15,78745,44.88399,20.45493,1,stn_010;stn_019;stn_159,20,direct
stn_010,River Park,zone_2,light_rail,1999-09-21,80909,44.89374,20.45067,1,stn_011;stn_020;stn_120,19,express
stn_011,Park Station,zone_3,metro,1998-01-31,23951,44.90147,20.4509,1,stn_012;stn_021;stn_121,14,direct
stn_012,Market Terminal,zone_4,tram,1972-09-22,49442,44.9123,20.45303,1,stn_013;stn_022;stn_173,6,direct
stn_013,Harbor Stop,zone_1,bus_terminal,1961-09-25,76455,44.92245,20.45118,0,stn_014;stn_023;stn_066,20,express
stn_014,Airport Hub,zone_2,rail,1967-06-13,92753,44.93183,20.45037,1,stn_012;stn_015;stn_024,24,direct
stn_015,Stadium Junction,zone_3,light_rail,1984-12-17,1085,44.94359,20.45466,0,stn_016;stn_022;stn_025,10,express
stn_016,University Depot,zone_4,metro,1970-03-06,19378,44.95249,20.45349,1,stn_015;stn_017;stn_026,20,express
stn_017,Hill Square,zone_1,tram,2007-05-02,34052,44.9608,20.45207,1,stn_018;stn_027;stn_160,18,transfer
stn_018,Bridge Cross,zone_2,bus_terminal,2018-03-07,46752,44.97102,20.45427,1,stn_019;stn_028;stn_174,8,transfer
stn_019,Square End,zone_3,rail,1996-09-06,94714,44.98328,20.45451,0,stn_020;stn_029;stn_178,10,transfer
stn_020,Gate Park,zone_4,light_rail,2014-11-02,65856,44.99106,20.45309,0,stn_019;stn_021;stn_030,21,direct
stn_021,North Station,zone_1,metro,1982-03-29,77218,44.80364,20.46171,1,stn_022;stn_031;stn_174,13,direct
stn_022,South Terminal,zone_2,tram,1967-04-22,22359,44.81394,20.46278,0,stn_023;stn_032;stn_069,13,direct
stn_023,East Stop,zone_3,bus_terminal,1965-01-05,9862,44.82215,20.46298,0,stn_024;stn_033;stn_122,9,transfer
stn_024,West Hub,zone_4,rail,1989-06-09,45765,44.83323,20.46263,0,stn_025;stn_026;stn_034,9,direct
stn_025,Central Junction,zone_1,light_rail,1977-11-12,16727,44.84204,20.46453,0,stn_026;stn_035;stn_121,23,express
stn_026,Old Depot,zone_2,metro,1992-02-27,69222,44.85183,20.46417,0,stn_027;stn_036;stn_166,5,transfer
stn_027,New Square,zone_3,tram,1978-09-06,44676,44.86078,20.4628,1,stn_028;stn_037;stn_181,8,direct
stn_028,Upper Cross,zone_4,bus_terminal,1970-01-04,88552,44.87104,20.46399,1,stn_029;stn_038;stn_158,18,express
stn_029,Lower End,zone_1,rail,1994-12-25,94414,44.88455,20.46369,1,stn_030;stn_039;stn_089,22,direct
stn_030,River Park,zone_2,light_rail,1988-02-29,90459,44.89412,20.46108,1,stn_031;stn_040;stn_065,11,direct
stn_031,Park Station,zone_3,metro,2002-10-02,31702,44.90178,20.46122,1,stn_032;stn_041;stn_122,5,direct
stn_032,Market Terminal,zone_4,tram,1988-05-22,27518,44.9132,20.46213,1,stn_033;stn_042;stn_152,7,direct
stn_033,Harbor Stop,zone_1,bus_terminal,1985-09-03,61181,44.92043,20.46379,0,stn_007;stn_034;stn_043,16,direct
stn_034,Airport Hub,zone_2,rail,2008-08-12,40957,44.93095,20.4624,1,stn_035;stn_044;stn_200,12,express
stn_035,Stadium Junction,zone_3,light_rail,1979-11-12,8834,44.94145,20.46217,0,stn_036;stn_045;stn_151,4,express
stn_036,University Depot,zone_4,metro,1963-04-24,7694,44.95056,20.46412,0,stn_033;stn_037;stn_046,24,direct
stn_037,Hill Square,zone_1,tram,1977-08-18,40561,44.96302,20.46145,1,stn_038;stn_047;stn_084,25,express
stn_038,Bridge Cross,zone_2,bus_terminal,1961-07-05,13862,44.97181,20.46221,1,stn_039;stn_048;stn_133,14,transfer
stn_039,Square End,zone_3,rail,1953-11-28,46811,44.98268,20.46065,0,stn_040;stn_049;stn_075,20,direct
stn_040,Gate Park,zone_4,light_rail,1978-12-14,22641,44.99446,20.46273,0,stn_041;stn_045;stn_050,19,transfer
stn_041,North Station,zone_1,metro,1950-06-11,33321,44.80456,20.47341,0,stn_042;stn_051;stn_075,15,direct
stn_042,South Terminal,zone_2,tram,1992-12-19,49513,44.81035,20.47132,0,stn_043;stn_052;stn_099,19,direct
stn_043,East Stop,zone_3,bus_terminal,1954-03-19,94958,44.82119,20.47414,0,stn_044;stn_053;stn_065,11,transfer
stn_044,West Hub,zone_4,rail,1996-08-22,58541,44.83098,20.47197,0,stn_045;stn_054;stn_090,24,direct
stn_045,Central Junction,zone_1,light_rail,1999-01-31,7608,44.84058,20.47069,1,stn_046;stn_055;stn_108,17,direct
stn_046,Old Depot,zone_2,metro,1997-11-14,52776,44.8515,20.47481,1,stn_047;stn_056;stn_119,20,direct
stn_047,New Square,zone_3,tram,1973-05-24,12188,44.86186,20.47466,0,stn_048;stn_057;stn_137,6,transfer
stn_048,Upper Cross,zone_4,bus_terminal,2015-03-21,2842,44.87054,20.47358,0,stn_049;stn_058;stn_104,5,express
stn_049,Lower End,zone_1,rail,1979-12-07,83032,44.88212,20.47311,1,stn_044;stn_050;stn_059,4,direct
stn_050,River Park,zone_2,light_rail,2018-05-13,6146,44.89055,20.47154,1,stn_051;stn_056;stn_060,10,direct
stn_051,Park Station,zone_3,metro,1992-04-11,51930,44.90134,20.47392,1,stn_017;stn_052;stn_061,13,express
stn_052,Market Terminal,zone_4,tram,1976-12-30,1281,44.91263,20.47266,1,stn_044;stn_053;stn_062,17,transfer
stn_053,Harbor Stop,zone_1,bus_terminal,1979-10-13,30470,44.92469,20.47124,1,stn_054;stn_063;stn_199,11,direct
stn_054,Airport Hub,zone_2,rail,1987-05-03,21323,44.93497,20.47381,1,stn_055;stn_064;stn_120,12,express
stn_055,Stadium Junction,zone_3,light_rail,1986-09-17,35069,44.94078,20.47289,1,stn_056;stn_062;stn_065,18,direct
stn_056,University Depot,zone_4,metro,1967-05-25,50026,44.95357,20.47416,0,stn_057;stn_066;stn_133,23,express
stn_057,Hill Square,zone_1,tram,2001-05-26,5281,44.96241,20.4725,0,stn_058;stn_067;stn_110,13,express
stn_058,Bridge Cross,zone_2,bus_terminal,1959-03-26,1521,44.97294,20.47154,1,stn_039;stn_059;stn_068,5,transfer
stn_059,Square End,zone_3,rail,2001-03-30,69139,44.98362,20.47028,1,stn_060;stn_069;stn_163,23,direct
stn_060,Gate Park,zone_4,light_rail,1952-06-04,70482,44.99011,20.47431,0,stn_061;stn_070;stn_157,16,express
stn_061,North Station,zone_1,metro,1976-09-30,81990,44.80077,20.48027,1,stn_038;stn_062;stn_071,5,transfer
stn_062,South Terminal,zone_2,tram,2017-05-12,34539,44.81113,20.48011,0,stn_012;stn_063;stn_072,19,direct
stn_063,East Stop,zone_3,bus_terminal,1971-11-11,42261,44.82265,20.48005,1,stn_064;stn_073;stn_084,16,express
stn_064,West Hub,zone_4,rail,2018-03-01,45354,44.83326,20.48304,1,stn_037;stn_065;stn_074,17,transfer
stn_065,Central Junction,zone_1,light_rail,1971-02-14,67649,44.8437,20.4805,0,stn_066;stn_075;stn_165,25,express
stn_066,Old Depot,zone_2,metro,1991-11-17,46998,44.85416,20.48341,0,stn_067;stn_076;stn_087,23,direct
stn_067,New Square,zone_3,tram,2009-11-09,37959,44.86295,20.48129,0,stn_027;stn_068;stn_077,9,transfer
stn_068,Upper Cross,zone_4,bus_terminal,1961-03-31,24186,44.87298,20.48028,0,stn_069;stn_078;stn_178,3,transfer
stn_069,Lower End,zone_1,rail,2004-09-24,67850,44.88013,20.48231,1,stn_070;stn_079;stn_144,25,transfer
stn_070,River Park,zone_2,light_rail,1984-03-11,76567,44.89407,20.4825,1,stn_071;stn_080;stn_151,16,express
stn_071,Park Station,zone_3,metro,1956-01-18,59055,44.90264,20.4814,1,stn_072;stn_081;stn_182,11,direct
stn_072,Market Terminal,zone_4,tram,2010-04-26,17129,44.91456,20.48342,1,stn_073;stn_082;stn_131,10,express
stn_073,Harbor Stop,zone_1,bus_terminal,2002-01-11,10987,44.92383,20.48466,1,stn_074;stn_083;stn_116,25,direct
stn_074,Airport Hub,zone_2,rail,2020-05-14,4239,44.93493,20.48224,1,stn_075;stn_084;stn_087,11,transfer
stn_075,Stadium Junction,zone_3,light_rail,1993-03-12,74748,44.94447,20.4803,1,stn_076;stn_085;stn_132,6,transfer
stn_076,University Depot,zone_4,metro,1969-05-02,1222,44.95073,20.48162,1,stn_077;stn_086;stn_145,21,transfer
stn_077,Hill Square,zone_1,tram,1997-08-19,28029,44.96216,20.48281,0,stn_078;stn_087;stn_094,20,direct
stn_078,Bridge Cross,zone_2,bus_terminal,1968-04-15,83236,44.97487,20.48045,0,stn_001;stn_079;stn_088,2,transfer
stn_079,Square End,zone_3,rail,2008-11-10,17655,44.98478,20.48277,0,stn_054;stn_080;stn_089,18,direct
stn_080,Gate Park,zone_4,light_rail,1978-02-12,21654,44.99496,20.4808,0,stn_003;stn_081;stn_090,6,express
stn_081,North Station,zone_1,metro,1954-06-03,8083,44.80116,20.49283,0,stn_082;stn_091;stn_149,8,express
stn_082,South Terminal,zone_2,tram,2009-02-28,93705,44.81205,20.4904,1,stn_083;stn_092;stn_133,18,direct
stn_083,East Stop,zone_3,bus_terminal,1996-01-18,21120,44.82056,20.49174,0,stn_084;stn_093;stn_191,5,transfer
stn_084,West Hub,zone_4,rail,1996-07-18,69085,44.83389,20.49375,0,stn_085;stn_094;stn_108,21,express
stn_085,Central Junction,zone_1,light_rail,2013-05-07,56699,44.84152,20.49149,1,stn_086;stn_095;stn_129,8,express
stn_086,Old Depot,zone_2,metro,1975-04-06,76684,44.85358,20.49209,1,stn_077;stn_087;stn_096,4,express
stn_087,New Square,zone_3,tram,1975-02-19,94598,44.86106,20.4942,0,stn_088;stn_097;stn_100,17,transfer
stn_088,Upper Cross,zone_4,bus_terminal,1964-06-01,6965,44.87429,20.49483,1,stn_040;stn_089;stn_098,20,transfer
stn_089,Lower End,zone_1,rail,1963-06-02,29588,44.88312,20.4905,1,stn_065;stn_090;stn_099,6,transfer
stn_090,River Park,zone_2,light_rail,1989-08-11,79282,44.89052,20.49352,1,stn_091;stn_100;stn_132,14,express
stn_091,Park Station,zone_3,metro,1962-04-11,93846,44.90239,20.49239,1,stn_010;stn_092;stn_101,24,transfer
